participant number ,Q214,Q225,Q227,Q228,Q231,Q233,Q454,Q578,Q589,Q535,Q536,Q534,Q588,Q467,Q137,Q139,Q174,Q164,Q457,Q196,Q187,Q197,Q195,Class
1,3,1,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
2,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,High_risk
3,3,2,4,3,2,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,High_risk
4,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
5,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
6,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
8,4,3,3,2,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,High_risk
9,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low_risk
10,2,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
11,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
12,1,4,3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,High_risk
13,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
14,1,2,2,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,High_risk
15,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
16,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
17,1,3,3,2,1,1,2,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,High_risk
18,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
19,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low_risk
20,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,High_risk
21,1,2,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,High_risk
22,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
23,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High_risk
24,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
25,3,3,3,3,4,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,High_risk
26,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low_risk
27,1,4,4,1,2,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,High_risk
28,2,1,2,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
29,1,3,3,3,3,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,High_risk
30,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
31,3,3,3,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,High_risk
32,3,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
33,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
34,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
35,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
36,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low_risk
37,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
38,3,3,4,4,2,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,High_risk
39,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low_risk
40,1,3,4,1,5,5,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,High_risk
41,3,3,3,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High_risk
42,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
43,3,4,2,1,1,1,2,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,High_risk
44,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
45,3,4,4,3,3,4,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,High_risk
46,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
47,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Low_risk
48,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
